,English,Yoruba
377,"But back then in the university, you were not born with a plastic spoon not to talk of a silver spoon ","Ṣùgbọ́n nígbà tí a wà ní ilé-ẹ̀kọ́ gíga, o ò rí ṣe"
378,So how did you come about all this wealth?,Báwo ni o ṣe wá ní gbogbo owó yìí?
379,Just abuse me instead...,Kúkú bú mi...
380,"Hard work pays, I have always been a hardworking man. You know that","Iṣẹ́ takuntakun lérè, o mọ̀ pé mo mú iṣẹ́ ní ọ̀kúnkúndùn. O mọ̀ béè"
381,And this is the result,Èrè rẹ̀ nìyí
382,"That's true, hardwork pays, you know"," Òótọ́ ni, iṣẹ́ takuntakun lérè, o mọ̀"
383,"Nice one, so good to see you again."," Ó dáa bẹ́ẹ̀, inú mi dùn láti rí ẹ ní ẹ̀ẹ̀kan sí i."
384,"Hey babe, sorry I kept you waiting","Ìfẹ́, má bínu pé mo dá ẹ dúró"
385,Your phone has been ringing,Ẹ̀rọ ìbánisòrọ̀ rẹ tí ń dùn
387,Femi! I don't know why he's been calling,Fẹ́mi! Mi ò mọ ìdí tí ó fi ń pè mí
388,I told him I won't be coming home for a week,Mo sọ fún un pé mi ò ní wálé fún ọ̀sẹ̀ kan
389,That's why I left my car with him,Ìdí rè é tí mo ṣe fi ọkọ̀ mi sílẹ̀ pẹ̀lú rẹ̀
390,"Once he's tired, he'll stop calling"," Tí ó bá sú u, á yéé pè"
391,Please let's go,Jọ̀wọ́ jẹ́ á lọ
392,Are you Sure?,Ṣé ó dá ẹ lójú?
394,(Knocks her door),(Ń kan ilẹ̀kùn rẹ)
395,Come in,Ẹ wọlé
396,Good morning sir,Ẹ káàárọ̀ Sà
397,Good morning,Ẹ káàárọ̀
398,Are you Mr Femi Mobolorunduro?,Ṣé èyín ni ọ̀gbẹ́ni Fẹ́mi Mobọ́lọ́rùndúró?
399,"But, I don't think I have seen these faces before","Ṣùgbọ́n, mí ò rò pé mo ti rí ojú yìí rí"
400,"Yes, I am detective Bosun from the state CID","Bẹ́ẹ̀ ni, èmi ni Ọ̀tẹlẹ̀múyẹ́ Bọ̀sun láti ẹ̀ka ìṣèwádìí ọ̀ràn ní ìpínlẹ̀"
401,Detective Bewaji,Ọ̀tẹlẹ̀múyẹ́ Bẹ́wàji ni mí
402,So what can I do for you please?,Ẹ jọ̀wọ́ kí ni mo lè ṣe fún yín?
403,Sir you are under arrest,Òfin gbé yín sà
404,For what,Fún kíni
405,What have I done?,Kí ni mo ṣe?
406,Sir you don't need to say anything,Sà Ẹ ko nílò láti sọ nǹkankan
407,Anything you say can or will be used against you in the court of law,Ohunkóhun tí ẹ bá sọ la ó lò takò yín nílé ẹjọ́
408,"But sir, please I have my baby in the room sleeping ",Ẹ jọ̀wọ́ ọmọ mi ń sùn nínú ilé
409,I'm thinking maybe you should give me the address,Mò ń rò ó pé tí ẹ bá lè fún mi ní àdírẹ̀si
410,I'll come and meet you there,Màá wá bá a yín níbẹ̀
411,Sorry you have to call someone to do that for you," Ẹ má bínú, ẹ ní láti pe ẹlòmíràn láti bá yín mójú tó o"
412,You will have to follow us now,Ẹ  máa nílò láti tẹ̀lẹ́ wa báyìí
413,After you sir,Lẹ́yìn yín sà
414,Miss Bimbo,Omidan Bímbọ́
415,This way sir,Ẹ gba ibí sà
416,Miss Bimbo,Omidan Bímbọ́
417,Mr Femi Bolorunduro,Ọ̀gbẹ́ni Fẹ́mi Bọ́lọ́rùndúró
418,Are you ready to confess now?,Ǹjẹ́ ẹ ti ṣetán láti jẹ́wọ́?
419,Are you ready or you are still sticking to your story?,Ǹjẹ́ ẹ ṣẹtán àbí nǹkan kan náà lẹ tún fẹ́ sọ?
420,I don't know what you want me to say,Mi ò mọ ohun tí ẹ fẹ́ kí n sọ
421,"That particular day, I was home with my lovely child ","Lọ́jọ́ náà, mo wà nílé pẹ̀lú ọmọ mi"
422,These police men came and arrested me without explaining anything,Àwọn ọlọ́pàá yìí wá mú mi láìṣe àlàyé ohunkóhun fún mi
423,And they kept asking me the same question all over again,Ìbéèrè kan náà ni wọ́n ti ń bi mí láti ìgbà náà
424,It is my job to keep asking you till you tell me the truth,Iṣẹ́ mi ni láti máa bèèrè títí tí ẹ ó fi jẹ́wọ́
425,That's the truth,Òtítọ́ nìyẹn
426,You don't know the amount of trouble you are in,Ẹ ò mọ inú irú wàhálà tí ẹ wà
427,Cooperate with me,Ẹ fọwọ́ sowọ́pọ̀ pẹ̀lú mi
428,maybe I might be able to help you,bóyá mo máa lè ràn ẹ́ lọ́wọ́
429,That's the truth,Òótọ̀ nìyẹn
430,"God have mercy on me, what is all this? ","Ọlọ́run ṣàánu mi, kí ni gbogbo eléyìí  báyìí?"
431,Hello Esther,Ǹlẹ́ Esther
432,Báwo ni?,How are you?
433,I was called from a police station,Wọ́n pè mí láti police station
434,They said Femi is in their custody,Wọ́n ní Fẹ́mi wà lọ́dọ̀ wọn
435,What's going on?,Kí ló ń ṣẹlẹ̀
437,That's where I'm heading to now,Ibẹ̀ lèmi náà ń lọ báyìí
438,Meet me there,Bá mi níbẹ̀
439,That's where I'm hurrying to,Ibẹ̀ lèmi náà ń sáré lọ
440,Meet me there,Bá mi níbẹ̀
441,Only God knows what kind of situation this is,Ọlọ́run nìkan ló mọ irú nǹkan wo leléyìí 
442,I don't know what this is,Mi ò mọ ohun tí eléyìí jẹ́
443,What could be the cause of this kind of situation,Kí ni ó lè fa irú nǹkan tó ṣẹlẹ̀ yìí
444,Police Station?,Àgọ́ ọlọ́pàá?
445,Come and sit down,O ò dẹ̀ wá jókòó
446," Bola, I can't sit","Bola, mi ò lè jókòó "
447,I am scared to go back home,Ẹ̀rù ti ń bà mí láti lọ sílé
448,Thank God Junior is with our neighbor," Ọlọ́run ṣe é, Junior wà lọ́dọ̀ ará ilé wa."
449,I don't know,Mi ò mọ̀
450,I’ m too tired,Ó sú mi
451,What exactly is bothering you?,Kí ni nǹkan tí ó ń dà ẹ́ láàmú gan?
452,"Bola, I was the last person to drive that car ","Bọ́lá, èmi ni mo wa ọkọ̀ yẹn kẹ́yìn"
453,So what are you insinuating?,Kí ni ò ń gbìyànjú láti sọ?
454,I don't understand,Kò yé mi
455,That you are the murderer?,Pé ìwọ ni apààyàn
456,Sorry? Are you alright,Jọ̀ọ́? Ṣé o gbádùn
457,What are you saying?,Kí ni ò ń sọ?
458,Murderer as how?,Apààyàn báwo?  
459,I took the car to my boyfriend’s house,Mo gbé ọkọ̀ náà lọ sí ilé ọ̀rẹ́kùnrin mi
460,Now everyone will know I am cheating on my husband," Nísìnyí, gbogbo èèyàn máa mọ̀ pé mò ń yan ọkọ mi jẹ"
461,It's crazy!,Kò ṣe é gbọ́!
462,I don’t know,Mi ò mọ̀
463,"Bola, why are you not saying anything? ","Bọ́lá, kílódé tí o ò sọ nǹkankan?"
464,Is that the reason why you didn't involve the police?,Ṣé ìdí tí o ò ṣe fi tó ọlọ́pàá létí nìyẹn?
465,What are you going to do?,Kí ni o fẹ́ ṣe?
466,"You have to involve the lawyer, you guys have a lawyer right? "," O ní láti pe agbẹjọ́rò, ṣé ẹ ní agbẹjọ́rò?"
467,"Yes, you said you wanted to see me ",Ẹ ní ẹ fẹ́ rí mi
468,"Yes I want to see you, I don't know what I am doing here ","Bẹ́ẹ̀ ni, mo fẹ́ rí i yín, mi ò mọ nǹkan tí mò ń ṣe níbí"
469,You just locked me up for nothing,Ẹ kàn tì mí mọ́lé láìnídìí
471,What have I done?,Kí ni mo ṣe?
472,Funny! Did you just ask me why?, O pa mí lẹ́rìn ín! Ṣé ò ń béèrè ìdí lọ́wọ́ mi?
473,Because you are a criminal! That is why," Ọ̀daràn ni ẹ́, ìdí nìyẹn"
474,But this is not fair,Ṣùgbọ́n èyí ò dáa
475,When they said you wanted to see me I thought you wanted to confess...,Nígbà tí wọ́n ní o fẹ́ rí mi mo rò pé o fẹ́ jẹ́wọ́ ẹṣẹ ni...
476,"... So we can move on, but I can see you are not ready to cooperate ","... Kí a lè tẹ̀ síwájú, ṣùgbọ́n mo rí i pé ẹ ò ṣe tán láti jẹ́wọ́"
477,Let me tell you,Jẹ́ kí n sọ fún ẹ
478,You will remain here till court hearing,Ibi ni ẹ máa wà títí di àsìkò ìgbẹ́jọ́
479,"This is not fair, have mercy on me ","Eléyìí ò dáa, ẹ ṣàánú mi"
480,The car we are talking about is not even mine,Ọkọ̀ tí à ń sọ̀rọ̀ ẹ̀ yìí kò ń ṣe tèmi gan
481,Dear you're not talking,Olólùfẹ́ o ò sọ̀rọ̀
482,What do you want me to say?,Kí ni o fẹ́ kí n sọ?
483,Is it true?,Ṣé òótọ́ ni?
484,It is true,Òótọ́ ni
485,I needed a car so I had to get one,"Mo nílò ọkọ̀, mo sì ra'kan"
486,You know I love you,O mọ̀ pé mo nífẹ̀ẹ́ ẹ
487,Why would I get angry,Báwo ni mo ṣe máa bínú
488,Because you got a car,Nítorí pé o ra ọkọ̀
489,I'm sorry,Má bínú
490,I promise to bring it home,Mo ṣe ìlérí láti gbe wálé
491,"Dear, where were you able to get that kind of money","Ìyàwó mi, níbo lo ti rí irú owó yẹn"
492,I can't remember us getting that kind of alert,Mi ò rántí pé a gba irú owó yẹn wọlé
493,Well your husband said you own the car,Ọkọ yín ní ẹ̀yin lẹ ni ọkọ̀
494,Of course it is my car,"Bẹ́ẹ̀ ni, ọkọ̀ mi ni"
495,You bought it?,Ẹ̀yin lẹ rà á?
496,"Yes, it is my car ","Bẹ́ẹ̀ ni, ọkọ̀ mi ni"
497,But the car is always in possession of my husband,Ṣùgbọ́n ọwọ́ ọkọ mi ni ó máa ń wà
498,"In fact, I take permissions each time I want to use the car ","Kódà, mo máa ń tọrọ àyè nígbà tí mo bá fẹ́ lò ó"
499,Does that make my husband a murderer?,Ṣé ìyẹn ti sọ ọkọ mi di apààyàn?
500,That does not make me a killer anyway,Kò sọ èmi náà di apààyàn
501,"You know what, there must be a mix up somewhere ","Ẹ mọ nǹkan, dàrúdàpọ̀ kan ti wà níbìkan"
502,"Because if I can remember vividly, I have not been home for a while ","Nítorí tí mo bá rántí dáadáa, ó ti pẹ́ díẹ̀ tí mi ò ti sí nílé"
503,Does that make my husband the killer?,Ṣé ìyẹn ti sọ ọkọ mi di apààyàn?
504,So what? The evidence appeared in your car,Kíni? Inú ọkọ̀ yín ni wọ́n ti bá ẹ̀rí
505,Can you please tell us where you were on the day of murder?,Ṣé ẹ lè sọ ibi tí ẹ wà ní ọjọ́ tí wọ́n ṣekú pa ẹni yìí?
506,What murder? And at what time?,Ìṣekú pa èwo? Ní àsìkò wo?
508,"On the 4th of September, precisely three days ago ","Ní ọjọ́ kẹ́rin oṣù ọ̀wẹwẹ̀, ìjẹ́ta yìí ni"
509,You said you have not been home for a while,Ẹ ní ó ti ṣe díẹ̀ tí ẹ ò ti sí nílé
510,So where were you?,Níbo ni ẹ wá wà?
511,"If I am not under arrest, I will like to go home  ",Mo fẹ́ máa lọ sílé tí òfin ò bá tí ì gbé mi
512,"But if I am, I will like to speak with my lawyer ","Tí òfin bá sì ti gbé mi, mo fẹ́ bá agbẹjọ́rò mi sọ̀rọ̀"
513,"And if you cannot tell us exactly where you were, you will be placed under arrest ","Tí ẹ kò bá sọ ibi tí ẹ wà lásìkò náà, a máa fi òfin gbé yín"
514,Excuse me?,Kí ni ẹ wí?
515,Excuse you?,Kí ni mo wí?
516,"And apart from that, she's not just a Nigerian ","Yàtọ̀ sí èyí, kì í ṣe ọmọ orílẹ̀-èdè Nàìjíríà lásán"
517,A full citizen and a commissioner's daughter and I bet you...,"Ọmọ kọmíṣọ́nà ni, ó dá mi lójú..."
518,You won't get away with this,Ẹ ò ní mú èyí jẹ
519,Get away with what?,Mú kíni jẹ?
520,Let's see,Ẹ jẹ́ kí a máa wò ó
521,(Music going),(Orin) lọ́
522,Come now! Let me show you something,Wá! Jẹ́ kí n fi nǹkan hàn ẹ́
523,"Okay, what is it? "," Ó dáa, kí ni?"
524,It's yours,Tìẹ ni
525,Oh my God! Thank you so much,Ọlọ́run mi ò! O ṣé gan
526,I love you,Mo nífẹ̀ẹ́ ẹ
527,I love you too,Mo nífẹ̀ẹ́ ìwọ náà
528,Thank you,O ṣé
529,You're welcome,Kò tọ́pẹ́
530,"But John, how do I explain this to my husband ","Ṣùgbọ́n John, báwo ni mo ṣẹ̀ fẹ́ ṣàlàyé eléyìí fún ọkọ mi"
531,It's easy why are you acting like a Jew,"Kò le rárá, kí ló dé tí ò ń ṣe bí àsè"
532,Register the car in his name and use your biometrics,Ṣe ìwé ọkọ̀ náà ni orúkọ rẹ̀ kí o sì lo ìdánimọ̀ tìrẹ
533,That way you don't have to worry about...,"Báyẹn, o ò nílò láti dààmú nípa..."
534,That sounds like a good idea,Ó jọ pé àbá yẹn dára
535,What do you think?,Kí lo rò?
536,Thank you,O ṣé
537,I know,Mo mọ
538,Thank you so much,O ṣé gan
539,"Wow, I’m so happy ",Inú mi dùn gan
540,Come here!,Wá ń'bí!
541,What is happening?,Kíni ó ń ṣẹlẹ̀?
542,"Wait now, where are you going?","Dúró, níbo lò ń lọ?"
544,"Esther, will you marry me? "," Esther, ṣé o máa fẹ́ mi?"
545,"John, you seriously need to calm down ","John, o ní láti farabalẹ̀ gidi"
546,Will you marry me?,Ṣé o máa fẹ́ mi?
547,I am still married,Mo ṣì wà nílé ọkọ
548,I know,Mo mọ̀
549,"But listen, way from university days we've always had a connection ","Ṣùgbọ́n tẹ́tí, láti ilé-ẹ̀kọ́ gíga ni a jọ ní nǹkan pọ̀"
550,It has to be God's plan now,Ó ń ní láti jẹ́ èrò Ọlọ́run nísinsìnyí
551,You know what I'm sorry I can't,"O mọ nǹkan, má bínú mi ò lè ṣe bẹ́ẹ̀"
552,"I was with him, I mean John ","Mo wà pẹ̀lú ẹ̀, John ni mò ń sọ"
553,But I want this to be between you and I,Ṣùgbọ́n mo fẹ́ kí èyí wà láàárín èmi pẹ̀lú yín
554,"I don't want my husband to find out, at least not like this ","Mi ò fẹ́ kí ọkọ mi mọ̀, kì í ṣe lọ́nà yìí"
555,This man you are talking about is your alibi?,Ọkùnrin tí à ń sọ̀rọ̀ nípa ẹ̀ ni ẹlẹ́rìí yín?
557,Does he have access to your car?,Ṣé ó máa ń lo ọkọ̀ yín?
558,"No, trust me. ","Rárá, ẹ gbà mí gbọ́."
559,Because he has fleet of cars,Nítorí ó ní ọ̀pọ̀lọpọ̀ ọkọ̀
560,Although he got me this particular car,Bí ó tilẹ̀ jẹ́ pé òun ni ó ra ọkọ̀ tí à ń sọ yìí fún mi
561,"Mr Femi, the only people with access to this car is you and your wife ","Ọ̀gbẹ́ni Fẹ́mi, ẹ̀yin àti ìyàwó yín nìkan ni ẹ máa ń lo ọkọ̀ yìí"
562,And she has an alibi,Ó sì ní ẹlẹ́rìí
563,Who is the Alibi?, Ta ni Ẹlẹ́rìí?
564,I'm not at liberty to discuss that with you,Àyè ò gbà mí láti máa bá a yín sọ ìyẹn
565,But that doesn't make me the person that committed the offence,Ṣùgbọ́n ìyẹn ò túmọ̀ sí pé èmi ni mo dá ọ̀ràn náà
566,Please can I talk to my wife?,Ẹ jọ̀wọ́ ṣé mo lè bá ìyàwó mi sọ̀rọ̀?
567,No you can't,Rárá ẹ ò lè bá a sọ̀rọ̀
568,Tell me where you were and who can corroborate your story,Ẹ sọ ibi tí ẹ wà ní ọjọ́ náà àti ẹni tí ó lè fi ìdí ọ̀rọ̀ yín múlẹ̀
569,That should be my friend Mike,Ọ̀rẹ́ mi Mike nìyẹn
570,"Mr Mike, you said you want to see him, now you are here "," Ọ̀gbẹ́ni Mike, ẹ ní ẹ fẹ́ rí wọn, ẹ ti wà níbí"
571,You know you are not even supposed to be here,Kò yẹ kí ẹ wà níbí
572,"So whatever you have to discuss, say it in my presence ",Ẹ máa sọ ohunkóhun tí ẹ bá fẹ́ sọ lójú mi
573,"Femi, why have you refused to speak to him? ","Fẹ́mi, kí ló dé tí o kọ̀ láti bá wọn sọ̀rọ̀?"
574,Refuse to talk to him? But I'm speaking to you,Kọ̀ láti bá wọn sọ̀rọ̀? Ṣùgbọ́n mò ń bá yín sọ̀rọ̀
575,Why didn't you tell him what we saw,Kí ló dé tí o ò ṣe sọ nǹkan tí a rí fún wọn?
576,"But we were together that day, weren't we? ","Ṣebí a jọ wà papọ̀ ní ọjọ́ yẹn ni, àbí bẹ́ẹ̀ kọ́?"
577,"Oh, are you talking about us driving round the town? ",Àbí ò ń sọ̀rọ̀ nípa bí a ṣe wa ọkọ̀ kiri ìlú
578,In fact you are the criminal,Ẹ̀yin gan ni ọ̀daràn
579,I am not a criminal,Mi ò kí ń ṣe ọ̀daràn
580,This guy wants to land himself in trouble,Ọkùnrin yìí fẹ́ kó ara rẹ̀ sí wàhálà
581,"I don’t know, I was told he was arrested for murder "," Mi ò mọ̀, wọ́n sọ fún mi pé wọ́n mú un fún ẹ̀sùn ìpànìyàn"
582,Murder? Of who?,Ìpànìyàn? Ta ló pa?
583,I think they found something,Ó dàbí pé wọ́n rí nǹkankan
584,"When they came, they were checking his trunk ","Nígbà tí wọ́n wá, wọ́n ń yẹ ẹ̀yìn ọkọ̀ rẹ̀ wò"
585,They were checking his trunk?,Wọ́n ń yẹ ẹ̀yìn ọkọ̀ rẹ̀ wò
587,"But the car belongs to his wife, not his  ","Ṣùgbọ́n ìyàwó rẹ̀ ló ni ọkọ̀, kì í ṣe tirẹ̀"
588,"Poor guy, I hope he has not gotten himself in trouble ","Ọmọlọ́mọ, mo lérò pé kò tí ì kó ara rẹ̀ sí wàhálà"
589,So you are familiar with him too?,Ṣé ìwọ náà mọ̀ ọ́n dáadáa?
590,"Of course, even with his syndrome ","Bẹ́ẹ̀ ni, mo mọ àmì àìsàn rẹ̀ náà"
591,It has to do with the brain,Ó ní í ṣe pẹ̀lú ọpọlọ
593,Brain? What syndrome are you talking about?,Ọpọlọ? Àmì àìsàn wo ni ò ń sọ̀rọ̀ nípa rẹ̀?
594,It is called developmental disorder,Wọ́n máa ń pè ní developmental disorder
595,Wait! Are you telling me you are not familiar with it?,Dúró! Ṣé ẹ̀ ń gbìyànjú láti sọ pé ẹ kò mọ̀ nípa rẹ̀?
596,How did you know all these?,Báwo ni ìwọ ṣe mọ gbogbo eléyìí?
597,How did you come up with all these things you’re saying?,Báwo ni o ṣe mọ gbogbo ohun tí ò ń sọ yìí?
598,I'm a nurse and I live with them," Nọ́ọ̀sì ni mí, a sì jọ ń gbé ni"
599,I practically know how slow he is,Mo mọ bí ó ṣe máa ń lọ́ra sí
600,Very slow,Ó máa ń lọ́ra gan an
601,Too slow as a matter of fact,Ó ti lọ́ra jù pàápàá
602,"I hope he's fine, but it can be treated "," Mo lérò pé ó máa wà ní àlàáfíà, ó ṣe é tọ́jú"
603,"It's a condition, a mental condition "," Àìsàn ni, àìsàn ajẹmọ́pọlọ ni"
604,Oh well! but he has to speak up,Ó da! Ṣùgbọ́n ó ṣì nílò láti sọ̀rọ̀
605,"Because he's the prime suspect here, he fits the description of the witness perfectly ","Nítorí pé òun ni ẹni tí a fura sí jùlọ, ó sì bá àpèjúwe tí ẹlẹ́rìí ṣe fún wa mu"
606,Femi you are facing a jail term that you are not supposed to face,Fẹ́mi ẹ̀wọ̀n tí kò kàn ẹ́ lò ń dojúkọ yìí
607,Do you know you are going to lose your child?,Ṣé o mọ pé o máa pàdánù ọmọ ẹ?
608,"Your child, Femi "," Ọmọ ẹ, Fẹ́mi"
609,But I don't know what you guys are talking about,Ṣùgbọ́n mi ò mọ nǹkan tí ẹ̀ ń sọ
610,"I'm not a murderer, I didn't kill anyone ","Mi ò kí ń ṣe apààyàn, mi ò pa ẹnikẹ́ni"
611,I don't even know the face of the person that was murdered,Mi ò tiẹ̀ mọ ojú ẹni tí wọ́n pa
612,I don't know what is happening here,Mi ò mọ̀ nǹkan tí ó ń ṣẹlẹ̀ níbí
613,Why don't you just start by telling him what we saw,O ò ṣe bẹ̀rẹ̀ pẹ̀lú ohun tí a rí
614,That will save you a court trial that might even land you in jail,Ìyẹn á ṣì gbà ẹ́ lọ́wọ́ ìgbẹ́jọ́ tí ó lè mú ẹ dèrò ẹ̀wọ̀n
615,What we saw?,Nǹkan tí a rí?
616,How far,Báwo ni
617,So when did she leave,Ìgbà wo ni ó kúrò
618,Not quite long,Kò tí ì pẹ́ púpọ̀
619,"Femi, you are not an idiot why do you behave like one ","Fẹ́mi, o ò kí ń ṣe Ọ̀dẹ̀, o dẹ̀ ń hùwà bí ọ̀dẹ̀"
620,I told you that when she's ready to leave you should  call me,Mo sọ fún ẹ pé kí o pè mi tí ó bá ti fẹ́ ma lọ
621,"Actually we were talking throughout, I didn't even remember "," À ń sọ̀rọ̀ ni, mi ò rántí mọ́"
622,But I'm scared of what she will do if she finds out,Ẹ̀rù nǹkan tí ó máa ṣe tí ó bá mọ̀ ń bà mí
623,So approximately how many minutes has she been gone for?,Á tí tó ìṣẹ́jú mélòó tí ó ti lọ?
624,"Mike we are wasting time, start this car and let's go "," Mike, à ń fi àkókò ṣòfò, ṣíná sí ọkọ̀ ká lọ"
625,"We might still see her, there's only one way out of this estate "," A ṣì lè rí i, ọ̀nà kan ṣoṣo náà ni àbájáde ibi ìtẹ̀dó yìí"
626,This girl has no shame,Ọmọbìnrin yìí ò ní ìtìjú
627,I mean even if she wants to mess up does she have to do with someone in the same estate with you?,"Tí ó bá tiẹ̀ máa ṣe ìranù, ṣé ó yẹ kí ó jẹ́ pẹ̀lú ẹni tí ó ń gbé ní ibi ìtẹ̀dó kan náà pẹ̀lú yín"
628,"Guy calm down, it's my wife we're talking about here ","Ọ̀gbẹ́ni fara balẹ̀, ìyàwó mi ni ẹni tí à ń sọ yìí"
629,"Moreover, we are not even seeing anything ","Síbẹ̀ náà, a ò sì tí ì rí nǹkankan náà"
630,Mike let's go back home," Mike, jẹ́ kí a padà sílé"
631,"Calm down now, we just got here "," Farabalẹ̀, a ṣẹ̀ṣẹ̀ dé ibi ni"
632,We can't start judging when we just arrived,A ò lè dá ẹjọ́ kankan nígbà tí a ṣẹ̀ṣẹ̀ dé
633,I need something to prove to you that your wife is sleeping with another man,Mo kàn nílò ẹ̀rí láti fìdí ẹ̀ múlẹ̀ fún ẹ pé ìyàwó ń bá ọkùnrin mìíràn sùn
634,You have started again,O tún ti bẹ̀rẹ̀
635,Do you know what I saw?,Ṣé o rí nǹkan tí mo rí ni?
636,You don't know the half of what I saw,O ò mọ ìlàjì nǹkan tí mo rí
637,And I was watching another guy fondle with your wife's boobies,Mo dẹ̀ ń wo bí ọkùnrin míìn ṣe ń fi ọyàn ìyàwó rẹ ṣeré
638,I know how that hurts but that is exactly what happened,"Mo mọ̀ pé ohun tí ó dunni láti gbọ́ ni, ṣùgbọ́n nǹkan tí ó ṣẹlẹ̀ nìyẹn"
639,"Mike, see I asked her and she said it is a lie ","Mike, wò ó mo béèrè lọ́wọ́ ẹ̀, ó dẹ̀ ní irọ́ ni"
640,She can even beat me for what I'm doing right now,Ó lè nà mí fún nǹkan tí mò ń ṣe lọ́wọ́lọ́wọ́ yìí
641,For talking to you again,Pé mo tún ń bá ẹ sọ̀rọ̀
642,Femi what is happening now?,Fẹ́mi kí ló ń ṣẹlẹ̀?
643,You're not an idiot but I don't know why you keep behaving like one," O ò kí ń ṣe Ọ̀dẹ̀, o dẹ̀ ń hùwà ọ̀dẹ̀"
644,So I told you something and you went and told your wife,"Mo sọ nǹkan fún ẹ, o sì lọ sọ fún ìyàwó ẹ"
645,But she's my wife now,"Àmọ́, ìyàwó mi ni"
646,"If she asked me, I'll tell her "," Bí ó bá bi mí, mà á sọ fún un"
647,"Wait, it's like someone is coming out ","Dúró, ó dàbí pé ẹnìkan ti ń jáde bọ̀"
648,She's the one,Òun ni
649,You see what I'm saying,Ṣé o ti rí nǹkan tí mò ń sọ
650,Hide yourself,Fi ara rẹ pamọ́
651,"I'm hiding, I just want to be sure you see what I'm seeing "," Mò ń fara pamọ́, mo kàn fẹ́ rí i dájú pé o rí ohun tí mo rí"
652,Who is this man?,Ta ni ọkùnrin yìí?
653,Is that my wife?,Ṣé ìyàwó mi nìyẹn?
654,It is my future wife,Ìyàwó ọjọ́ iwájú mi ni
655,"Sleep now, it's past your bedtime ","Sùn, asiko oorun ẹ ti kọjá"
656,Are you sleeping now,Ṣé o ti ń sùn
657,There is trouble,Wàhálà wà o
658,"Hold on Femi, what is your problem? ","Ní sùúrù Fẹ́mi, kí ni ìṣòro ẹ?"
659,You kept calling and calling and calling,Ò ń pè mí títítí
660,Do you want to kill my battery?,Ṣé o fẹ́ pa bátìrì fóònù fún mi ni?
661,Don't you know that someone is busy if you call her for up to three times and she does not pick it,"Ṣé kò yẹ kí o mọ̀ pé to bá ti pe èèyàn lẹ́ẹ̀kan lẹ́ẹ̀mejì lẹ́ẹ̀mẹ́ta tí kò gbe, ẹni náà ń ṣe ǹkan lọwọ ni?"
662,Busy indeed,Ó ń ṣiṣẹ́ náà ni
663,I saw the way you were busy,Mo rí bí o ṣe ń ṣiṣẹ́
664,Are you talking to me?,Ṣé èmi lò ń bá wí?
665,"I don't understand, what do you mean by that? "," Kò yé mi, kí ni ìtumọ̀ ìyẹn?"
666,I actually suspected you and I followed you in Mike's car,Mo fura sí ẹ mo sì tẹ̀lé ẹ nínú ọkọ̀ Mike
667,Yes I saw everything,Mo rí gbogbo ẹ̀
668,Mike again?,Mike tún ni
669,You really need to tell that your friend to mind his business,O ní láti sọ fún ọ̀rẹ́ ẹ yẹn pé kí ó ṣọ́ igbá ẹ̀
670,Don't water down my conversation ,Kí ó yé dá sí ọ̀rọ̀ mi
671,"Please, whose house were you at? "," Jọ̀ọ́, ilé ta ni o wà yẹn ná? "
672,If I hear this thing from anyone else,Tí mo bá gbọ́ ọ̀rọ̀ yìí lẹ́nu ẹlòmíì
673,I am going to kill you and then leave you,"Mo máa pa ẹ́, mo dẹ̀ máa fi ẹ́ sílẹ̀"
674,Do you hear me? Idiot,Ṣé o gbọ́ mi? Ọ̀dẹ̀
675,"You too, it's okay ","Ìwọ náà, ó ti to"
676,Where to?,Níbo ló wá dà?
677,What stupid question are you asking me?,ìbéèrè òṣì wo lò ń bi mí yẹn?
678,Where are you going to?,Níbo lò ń lọ?
679,I'm going to my friend's place and I'm going to spend the weekend there,Mò ń lọ sí ọ̀dọ̀ ọ̀rẹ́ mi ibẹ̀ ni mo ti máa ṣe òpin ọ̀sẹ̀
680,But you just came in now?," Àmọ́, o ṣẹ̀ṣẹ̀ dé ni?"
681,Won't you spend time with your family?,Ṣé o kò ní lo àsìkò pẹ̀lú ìdílé ẹ ni?
682,Who is this your friend?,Ta ni ọ̀rẹ́ ẹ yìí?
683,I don't even know your friend,Mi ò tiẹ̀ mọ ọ̀rẹ́ ẹ
685,Don't even start,Má bẹ̀rẹ̀ o
686,Don't start crying,Má bẹ̀rẹ̀ ẹkún o
687,Thank God you are here,Ọlọ́run ṣeun pé ẹ wà níbí
688,He's awake,Ó ti jí
689,Why are you the one carrying him on your back?,Ó ṣe wá jẹ́ ẹ̀yin lẹ pọ̀n ọ́n?
690,His mother came in and she has gone back,"Ìyá ẹ wá nísìn, ó tún ti lọ"
691,"You too should sleep, you kept your eyes wide ",Ìwọ náà ò dẹ̀ sùn tí o dẹ̀ ranjú kalẹ̀
692,Don't talk to him like that,Ẹ má sọ̀rọ̀ sí i bẹ́yẹn
693,Time is far gone,Akoko ti lọ ni
694,"Leave him, he will sleep "," Ẹ fí í lẹ̀, ó máa sùn"
695,I think she left for this guy's place,Mo rò pé ó lọ sí ọ̀dọ̀ ọmọkùnrin yìí
696,What's the address?,Kí ni àdírẹ́sì ibẹ̀?
697,As you are,Bo ṣe wà yìí
698,Let me tell you something,Jẹ́ kí n sọ nǹkan fún ẹ
