,english,yoruba
293,The very existence of these legal challenges tells citizens that their voices matter.,Ìwà tí ó jẹ́ gbòògì àwọn ìpèníjà wọ̀nyí gẹ́gẹ́ bíi ti òfin ń sọ fún ọmọ-ìlú pé ohùn-un wọn ṣe kókó.,
294,"From Tanzania’s prohibition on spreading ""false, deceptive, misleading or inaccurate"" information online to Uganda’s tax on social media that is intended to curb ""gossip"", the noise made on digital platforms scares oppressive regimes. In some cases, it may even lead to them to rescind their actions.","Kí a mú un láti Ìdádúró Tanzania tí ó dá lóríi ìtànká ""ìròyìn irọ́, ìtànjẹ, tàbí ìròyìn tí ò pé ojú òṣùwọ̀n"" lórí ayélujára títí kan owó-orí Uganda fún ìlò ẹ̀rọ-alátagbà fún ìgbógunti ""àhesọ"", ariwo orí ẹ̀rọ-ayárabíaṣá ń já àwọn ìjọba aninilára láyà. Ní ìgbà mìíràn, ó máa mú wọn pa àwọn ìwàa wọn tì.",
295,The experience of the Zone9 bloggers of Ethiopia provides a powerful example.,Ìrírí akọbúlọ́ọ̀gù Zone9 ìlú Ethiopia jẹ́ àpẹẹrẹ.,
296,"In 2014, nine Ethiopian writers were jailed and tortured over a collective blogging project in which they wrote about human rights violations by Ethiopia’s former government, daring to speak truth to power.","Ní ọdún 2014, àwọn òǹkọ̀wé ọmọ bíbí Ethiopia mẹ́sàn-án lọ sí ẹ̀wọ̀n àti jìyà oró látàrí iṣẹ́ àjọṣepọ̀ tí wọ́n jọ kọ nípa ìtẹsẹ̀ àgẹ̀rẹ̀ sí ẹ̀tọ́ ọmọ-ènìyàn ìjọba àná ìlú Ethiopia, kí òótọ́ ó di mímọ̀.",
297,"The state labeled the group ""terrorists"" for their online activity and incarcerated them for almost 18 months.","Ìjọba pe ẹgbẹ́ yìí ni ""afẹ̀míṣòfò"" nítorí àtẹ̀jáde orí ẹ̀rọ-ayélujára wọn a sì ti wọ́n mọ́lé fún oṣù 18.",
298,"Zone9 members Mahlet (left) and Zelalem (right) rejoiced at the release of Befeqadu Hailu (second from left, in scarf) in October 2015.","Àwọn ọmọ ẹgbẹ́ Zone9 Mahlet (òsì) àti Zelalem (ọ̀tún) ń dunnú fún ìdásílẹ̀lẹ́wọ̀n Befeqadu Hailu (ẹnìkejì láti ọwọ́ òsì, pẹ̀lú sícáàfù) ní oṣù kẹwàá ọdún 2015.",
299,Photo shared on Twitter by Zelalem Kiberet.,Orí Twitter ni Zelalem Kiberet ti pín àwòrán yìí.,
300,"Six members of the now liberated group made their premier international engagement in Ghana during FIFA conference: Atnaf Berhane, Befeqadu Hailu Techane, Zelalem Kibret, Natnael Feleke Aberra, and Abel Wabella were all in attendance.","Àwọn mẹ́fà lára àwọn ẹgbẹ́ náà tí ó ti gba òmìnira báyìí ṣe ìtàkùrọ̀sọ àgbáyé àkọ́kọ́ ní ìlú Ghana ní àsìkò àpérò FIFA: Atnaf Berhane, Befeqadu Hailu Techane, Zelalem Kibret, Natnael Feleke Aberra, àti Abel Wabella náà wá sí àpérò.",
301,"Jomanex Kasaye, who had worked with the group prior to the arrests (but was not arrested) also attended.","Jomanex Kasaye, ẹni tí ó ti bá ẹgbẹ́ náà ṣiṣẹ́ kí àtìmọ́lé ó tó ṣẹlẹ̀ (àmọ́ tí a kò fi àṣẹ mú) náà kò gbẹ́yìn níbi àpérò.",
302,Several members had collaborated with Global Voices to write and translate stories into the Amharic.,Ọ̀pọ̀lọpọ̀ nínú ẹgbẹ́ yìí ti bá Ohùn Àgbáyé ṣe pọ̀ láti kọ àti ṣe ìtúmọ̀ ìròyìn sí èdè Amharic.,
303,"As members of the community, Global Voices campaigned and mobilised the global human rights community to speak out about their case from the very first night they were arrested.",Gẹ́gẹ́ bí ọmọ ẹgbẹ́ Ohùn Àgbáyé ṣe ìpolongo àti ìpanupọ̀ ajàfúnẹ̀tọ́ ọmọnìyàn àgbáyé gẹ́gẹ́ bi agbẹnusọ láti ọjọ́ tí wọ́n dé akoto ọba.,
304,"After months of writing stories and promoting their case on Twitter, international condemnation of their arrest and imprisonment began to flow from governments and prominent human rights leaders, alongside hundreds of thousands of online supporters.","Lẹ́yìn ọ̀pọ̀lọpọ̀ oṣù tí a tẹ ọ̀kanòjọ̀kan ìròyìn jáde àti ìgbélárugẹ ìtàkùrọ̀sọ ọ̀ràn wọn lórí Twitter, ìdálébi ìfàṣẹmú àti àtìmọ́lé gba ojúlé ìjọba àti àwọn alẹ́nulọ́rọ̀ ajàfúnẹ̀tọ́ ọmọnìyàn ní àgbáyé kọjá, láì gbàgbé àwọn ọgọọ́gọ̀rún àti ẹgbẹẹ̀gbẹ̀rún alátìlẹ́yìn orí ẹ̀rọ-ayélujára.",
305,"From the four-compass points of the world, a mighty cry arose demanding the Ethiopian government to free the Zone9 bloggers.","Láti orígun mẹ́rẹ̀ẹ̀rin àgbáyé, igbe ńlá ni ó gba àwọn akọbúlọ́ọ̀gù Zone9 sílẹ̀ lọ́wọ́ ìjọba ilẹ̀ Ethiopia.",
306,"In their remarks at FIFA, the bloggers said that their membership in the Global Voices community was key to visibility during their time in prison.","Nínú ọ̀rọ̀ wọn ní FIFA, àwọn akọbúlọ́ọ̀gù náà sọ wípé ìkẹ́gbẹ́ẹ wọn nínú Ohùn Àgbáyé ṣe gudugudu méje yàyà mẹ́fà ní àsìkò tí àwọn ń fi aṣọ pénpé ro oko ọba.",
307,"In their panel session, they credited Global Voices’ campaign for keeping them alive.","Ní ètò ìtàkùrọ̀sọ wọn, wọ́n gbé orí yìn fún ìpolongo Ohùn Àgbáyé tí ó ṣe iṣẹ́ ribiribi tí ó mú àwọn wà láyé.",
308,"Berhan Taye, the panel moderator, asked the group to recount their prison experiences.","Berhan Taye, atọ́kùn ìtàkùrọ̀sọ, bi ẹgbẹ́ yìí ní ìbéèrè ìrírí wọn ní inú túbú.",
309,"As they spoke, the lights on the stage dimmed.","Bí wọ́n ti ṣe sọ, iná amọ́roro ìtàgé wálẹ̀ díẹ̀.",
310,Their voices filled the room with a quiet power.,Ohùn-un wọn mú kí iyàrá ètò pa lọ́lọ́.,
311,"Abel Wabella, who ran Global Voices’ Amharic site, lost hearing in one ear due to the torture he endured after refusing to sign a false confession.","Abel Wabella, alákòóso Ohùn Àgbáyé ní ‘ Èdè Amharic , kò fi etí ẹ̀gbẹ́ẹ rẹ̀ kan gbọ́ràn já geere mọ́n láti ara ìjìyà oró tí ó jẹ́ nítorí pé ó kọ̀ láti ti ọwọ́ bọ ìwé ìjẹ́wọ́.",
312,Atnaf Berhane recalled that one of his torture sessions lasted until 2 a.m. and then continued after he had a few hours of sleep.,Atnaf Berhane rántí wípé òún jẹ ìyà oró di aago méjì òru tí òún padà sí lẹ́yìn oorun díẹ̀.,
313,One of the security agents who arrested Zelalem Kibret had once been Kibret's student at the university where he taught.,Ọ̀kan lára àwọn agbófinró tí ó mú Zelalem Kibret ti fi ìgbà kan rí jẹ́ akẹ́kọ̀ọ́ Kibret ní Ifásitì tí ó ti ń ṣe iṣẹ́ olùkọ́.,
314,Jomanex Kasaye recounted the mental agony of leaving Ethiopia before his friends were arrested — the anguish of powerlessness — the unending suspense and fear that his friends would not make it out alive.,Jomanex Kasaye náà ṣe ìrántí ìwàyáìjà ọpọlọ tí ó ní í ṣe pẹ̀lú ìrònú ìfìlú Ethiopia sílẹ̀ kí wọ́n ó tó fi ọwọ́ òfin mú àwọn ọ̀rẹ́ẹ rẹ̀ — ìrora àìlágbára — ìlàkàkà ọkàn àti àìfẹ̀dọ̀lórí òróòró àti ìbẹ̀rù wípé àwọn ọ̀rẹ́ òhun ò ní jáde láàyè.,
315,"Zone9 bloggers together in Addis Ababa, 2012. From left: Endalk, Soleyana, Natnael, Abel, Befeqadu, Mahlet, Zelalem, Atnaf, Jomanex.","Àpapọ̀ Akọbúlọ́ọ̀gù Zone9 ní Addis Ababa, ní ọdún 2012. Láti ọwọ́ ọ̀tún: Endalk, Soleyana, Natnael, Abel, Befeqadu, Mahlet, Zelalem, Atnaf, Jomanex.",
316,Photo courtesy of Endalk Chala.,Endalk Chala ni ó ni àwòrán.,
317,"With modesty, the Zone9 bloggers said:","Pẹ̀lú ìrẹ̀lẹ̀, àwọn akọbúlọ́ọ̀gù Zone9 sọ wípé:",
318,We are not strong or courageous people... we are only glad we inspired others.,A kò kí ń ṣe ẹni tí ó ní okun tàbí ìgboyà... inúu wa dùn nítorí wípé a fún àwọn ènìyàn mìíràn ní ìmísí ni.,
319,"Yet, the Zone9 bloggers redefined patriotism with both their words and actions.","Síbẹ̀, akọbúlọ́ọ̀gù Zone9 ṣe àtúnlò ìfẹ́-ìlú-ẹni nínú ọ̀rọ̀ àti ìṣe.",
320,It takes immense courage to love one's country even after suffering at its hands for speaking out.,Ó gba ìgboyà láti fẹ́ràn ìlú ẹni pàápàá lẹ́yìn ìjìyà nítorí wípé a sọ̀rọ̀ síta.,
321,"Ugandan journalist Charles Onyango-Obbo, also in attendance at FIFA, shared an Igbo proverb popularised by Nigerian writer Chinua Achebe which says:","Oníròyìn ọmọ Uganda Charles Onyango-Obbo, tí òun náà wà ní FIFA, mẹ́nu ba òwe Igbo tí gbajúgbajà òǹkọ̀wée nì Chinua Achebe mú di mímọ́ tí ó sọ wípé:",
322,"Since the hunter has learned to shoot without missing, Eneke the bird has also learnt to fly without perching.","Níwọ̀n ìgbà tí òde ti já ọgbọ́n àtamátàsè, ẹyẹ Eneke náà ti kọ́ fífò láì bà.",
323,"In essence, he meant that in order to keep digital spaces free and safe, those involved in this struggle must devise new methods.","Ní àkótán, ohun tí ó fẹ́ sọ ní wípé láti mú ayélujára wà ní ipò ọ̀fẹ́ àti ààbò, àwọn tí ó ń jà fún èyí nílò láti wá ọgbọ́n mìíràn dá.",
324,Activists on the front lines of free speech in sub-Saharan Africa and across the globe cannot afford to work in silos or go silent in frustration and defeat.,Àwọn ajàfúnẹ̀tọ́ tí ó ń lé iwájú nínú òmìnira ọ̀rọ̀ sísọ ní ìlú-Gúúsù-Aṣálẹ̀-Sàhárà àti káríayé kò gbọdọ̀ ṣe aláì máà wá wọ̀rọ̀kọ̀ fi ṣ'àdá lórí ọ̀ràn yìí.,
325,"With our strength and unity, online spaces will remain free to deepen democracy through vibrant dissent.","Pẹ̀lú agbára àti àjọṣe wa, ẹ̀rọ-ayélujára yóò di ibi òmìnira fún ìtẹ̀síwájú ìjọba àwa-arawa.",
326,The untold tragedy of 28 Mauritanian soldiers executed on Independence Day,Ìjàm̀bá Àwọn Ológun Mauritania 28 tí wọ́n pa ní ọjọ́ Òmìnira tí a kò sọ,
327,Screenshot of the 28 soldiers executed on Independence day – Video posted by Ibrahima Sow.,Àwòrán àwọn Ológun 28 tí wọ́n pa lọ́jọ́ òmìnira – Ibrahima Sow ni ó ṣe àtẹ̀jáde fídíò.,
328,"On November 28, 1990, 28 men in Inal, Mauritania, were hanged by fellow soldiers in a prison the middle of the night, meticulously selected one by one to be killed, after being accused of plotting a coup against the government.","Ní ọjọ́ kejìdínlọ́gbọ̀n oṣù Belu ọdún 1990, àwọn ẹgbẹ́ ológun yẹgi fún ọkùnrin méjìdínlọ́gbọ̀n tí a fi ìfarabalẹ̀ ṣà lọ́kọ̀ọ̀kan láti pa nínú ẹ̀wọ̀n láàárín òru, ní Inal ní orílẹ̀-èdè Mauritania lẹ́yìn tí a fi ẹ̀sùn ìpète-lati-gba-ìjọba kàn wọ́n.",
329,"The date, which also marks Mauritania's independence from France in 1960, continues to haunt some Mauritanians who seek justice for the brutal killings of these 28 men, all of whom were black.","Ọjọ́ yìí, tún jẹ́ àyájọ́ ọjọ́ tí orílẹ̀-èdè Mauritania gba òmìnira lọ́wọ́ France ní ọdún 1960, lé góńgó sọ́kàn àwọn ọmọ orílẹ̀-èdè Mauritania kan tí wọ́n ń wá ìdájọ́ òdodo fún ìpakúpa tí wọ́n pa àwọn ọkùnrin 28 yìí, tí gbogbo wọn sì jẹ́ aláwọ̀ dúdú.",
330,The West African nation of Mauritania is a mix of Arab-Berber and black Africans and human rights groups say black Africans have long suffered discrimination and exploitation.,"Orílẹ̀-èdè Mauritania ti Ìwọ̀-oòrùn Ilẹ̀-Adúláwọ̀ jẹ́ ìdàpọ̀ àwọn Lárúbáwá àti àwọn aláwọ̀ dúdú, àwọn ẹgbẹ́ ajàfẹ́tọ̀ọ́ ọmọnìyàn sọ pé àwọn aláwọ̀ dúdú ti ń dojúkọ ìyàsọ́tọ̀ àti ìlòkulò fún ìgbà pípẹ́.",
331,"The president of the Inal-France Committee, Youba Dianka, explains:","Ààrẹ Ìgbìmọ̀ àwọn Inal-France, Youba Dianka, ṣàlàyé:",
332,Translation Original Quote,Ìtúmọ̀ Ìtúnwí-ọ̀rọ̀ Ọlọ́rọ̀ gan-an,
333,I want to make it clear that Inal is just an example; there were many ‘Inals’ in Mauritania.,Mo fẹ́ fi hàn wípé àpẹẹrẹ ni Inal jẹ́; ọ̀pọ̀ ọmọ ‘Inal’ ni ó ti wà ní Mauritania.,
334,"Horrific events happened in Azlatt, Sory Malé, Wothie, Walata, Jreida and in the valley.","Àwọn ìṣẹ̀lẹ̀ abanilẹ́rù ti wáyé ní Azlatt, Sony Malé, Wothie, Walata, Jreida àti nínú àfonífojì.",
335,"Inside the military compound in Inal and its surroundings, soldiers were quartered,  buried alive, shot, and hung in celebration of the country's independence in 1990.","Nínú ọgbà àwọn ológun ní Inal àti àgbègbè rẹ̀, wọ́n pín àwọn ológun yẹ́lẹyẹ̀lẹ, wọ́n rì wọ́n mọ́lẹ̀ ní òòyẹ̀, wọ́n yìnbọn lù wọ́n, wọ́n sì yẹgi fún wọn ní ìrántí òmìnira orílẹ̀-èdè náà lọ́dún 1990.",
336,"On Independence Day this year, Mauritanians paid more attention to the nomination of their national football team to the Africa Cup of Nations (CAF) finals than they did to the forgotten “soldiers [who] lay in solitude in anonymous pits ...","Ní àyájọ́ ọjọ́ òmìnira ti ọdún yìí, àwọn ọmọ orílẹ̀-èdè Mauritania fi ọkàn sí yíyàn tí a yan ẹgbẹ́ agbábọ́ọ̀lù orílẹ̀-èdè wọn sí àṣekágbá ìdíje Ife-ẹ̀yẹ ti àwọn orílẹ̀-èdè Ilẹ̀-Adúláwọ̀ (CAF) ju bí wọ́n ṣe ṣe sí àwọn ẹni ìgbàgbé, àwọn ológun tí wọ́n wà nínú kòtò àìmọ̀ ...",
337,"still waiting for a decent burial,” writes Kaaw Elimane Bilbassi Touré, news editor of the Mauritanian news site Le Flambeau.","tí wọ́n ṣì ń dúró de ìsìnkú tí ó yẹni, Kaaw Elimane Bilbassi Toure tí í ṣe olóòtú ibùdó ìròyìn orí ayélujára Le Flambeau ti Mauritania kọ.",
338,"Kiné-Fatim Diop, campaign director for Western Africa at Amnesty International, remarked this year on the contradictions between what should be a celebratory day and what most victims’ families actually feel:","Kiné-Fatim Diop, adarí ìpolongo Amnesty International ní Ìwọ̀-oòrùn Ilẹ̀-Adúláwọ̀, sọ̀rọ̀ ní ọdún yìí nípa ìtakora tí ó wà ní àárín ohun tí ó yẹ kí ó jẹ́ ọjọ́ ìṣèrántí-dunnú àti ohun tí ọ̀pọ̀lọpọ̀ ẹbí àwọn olùfarapa ń rò:",
339,Translation Original Quote,Ìtúmọ̀ Ìtúnwí-ọ̀rọ̀ Ọlọ́rọ̀ gan-an,
340,"Each year, while the officials celebrate the ascension to sovereignty with joy, the victims’ families cry and protest in sadness for justice and reparations.","Lọ́dọọdún, bí àwọn tí wọ́n dipò mú ṣe ń ṣe ìrántí ìgùnkè wọn sí ipò gíga pẹ̀lú ìdùnnú, ẹbí àwọn olùfarapa máa ń sunkún, tí wọ́n sì máa ń fi ẹhónú hàn pẹ̀lú ìbànújẹ́ fún àtúnṣe àti ìdájọ́ òdodo.",
341,"The authorities are only trying to bury this hideous side of independence, just like when they secretly voted an amnesty law in 1993 affirming the state's amnesia concerning the soldiers’ killings 30 years ago.","Àwọn tí ó wà nípò àṣẹ kàn ń gbìyànjú láti ri apá òmìnira tí kò farahàn yìí mọ́lẹ̀, gẹ́gẹ́ bí wọ́n ṣe dìbò yan òfin ìdáríjì ìjọba ní ìkọ̀kọ̀ lọ́dún 1993 tí wọ́n sì fìdí ìgbàgbé ìjọba múlẹ̀ nípa ìpakúpa àwọn ológun náà lọ́gbọ̀n ọdún sẹ́yìn.",
342,The Forum Against Impunity and Injustice in Mauritania expressed sorrow over the tragedy of two brothers in particular who were hanged on that tragic night:,Àjọ tí ó ń tako àìjìyà ẹlẹ́ṣẹ̀ àti àìṣòdodo ní orílẹ̀-èdè Mauritania Forum Against Impunity and Injustice fi ìbànújẹ́ hàn lórí ìjàm̀bá àwọn tẹ̀gbọ́n-tàbúrò kan tí a yẹgi fún lálẹ́ ọjọ́ burúkú Èṣù gb'omi mu yìí:,
343,Translation Original Quote,Ìtúmọ̀ Ìtúnwí-ọ̀rọ̀ Ọlọ́rọ̀ gan-an,
344,"Absolutely, a curse fell on the 28 soldiers that night. Like the two brothers, Diallo Oumar Demba and his brother Diallo Ibrahima, who were hanged wearing consecutive numbers written on them with a pen.","Láìsí àní-àní, èpè ja àwọn ológun 28 yẹn lóru ọjọ́ náà. Bí i ti àwọn tẹ̀gbọ́n-tàbúrò, Diallo Oumar Demba àti àbúròo rẹ̀ Diallo Ibrahima tí a yẹgi fún pẹ̀lú àkọsílẹ̀ nọ́ḿbà tí ó tẹ̀lé ara wọn tí a fi gègé kọ sí wọn lára.",
345,What makes this sadder is having to witness your older brother's death.,Ohun tí ó mú èyí bani nínú jẹ́ jù ni fún ẹni láti rí ikú tí ó pa ẹ̀gbọ́n ẹni.,
346,"The executioners did their work with accuracy, and were actually not stopping at the hanging part, but also dragging the dead and sitting on their corpses.","Àwọn apani ṣe iṣẹ́ wọn pé, wọn kò sì dáwọ́ dúró lẹ́yìn tí wọ́n yẹgi fún wọn, wọ́n tún wọ́ òkúu wọn nílẹ̀ bẹ́ẹ̀ náà ni wọ́n sì ń jókòó lé wọn lórí.",
347,Survivors speak out,Àwọn Ẹni-orí-kó-yọ sọ̀rọ̀ síta,
348,Testimonies from survivors continue to pour in after 30 years.,Ẹ̀rí túbọ̀ ń tẹnu àwọn ẹni-orí-kó-yọ jáde lẹ́yìn ọgbọ̀n ọdún.,
349,"Mamadou Sy was a squadron commander in the Mauritanian army, then a deputy commander and finally a base commander before he was arrested that night.","Mamadou Sy jẹ́ apàṣẹ ẹgbẹ́-ológun nínú ẹgbẹ́ ológun Mauritania, ó ti jẹ́ igbákejì apàṣẹ, kí ó tó wá di apàṣẹ ẹgbẹ́ ológun ẹ̀ka kan kí wọ́n tó mú un ní alẹ́ ọjọ́ yẹn.",
350,"In his book “Hell in Inal“, published in 2000, he describes the torture he suffered, when military commanders blindfolded him, tied him up, and threw him in dirty, stinking water.","Nínú ìwée rẹ̀, “Ọ̀run-àpáàdì ní Inal“, tí a tẹ̀ jáde ní ọdún 2000, ó ṣàpèjúwe ìjìyà-oró tí ó jẹ, nígbà tí àwọn apàṣẹ ológun dì í lójú, so ó mọ́lẹ̀, tí wọ́n sì jù ú sínú omi ìdọ̀tí rírùn.",
351,Another soldier who survived that dreadful night managed to go to France for treatment after his time in prison with the help of the Christian Association Against Torture (ACAT in French).,Ológun mìíràn tí orí kó yọ lálẹ́ ọjọ́ burúkú yìí tiraka gba France lọ fún ìtọ́jú lẹ́yìn tí ó kúrò ní ọgbà ẹ̀wọ̀n pẹ̀lú ìrànwọ́ àwọn Àjọ Onígbàgbọ́ tí ó ń tako Ìfìyàjẹni (ACAT lédè Faransé).,
352,He testifies on the condition of anonymity on the racism he experienced in his 24 years of military service:,"Ní ipò àìlórúkọ, ó jẹ́rìí sí ìyàsọ́tọ̀ ẹ̀yà tí ó rí láàárín ọdún mẹ́rìnlélógún tí ó fi ṣiṣẹ́ ológun:",
353,Translation Original Quote,Ìtúmọ̀ Ìtúnwí-ọ̀rọ̀ Ọlọ́rọ̀ gan-an,
354,"As far as I can remember, since I have started to understand, I have always noticed that black people never had any rights, and that the white Mauritanians were privileged.","Gẹ́gẹ́ bí mo ṣe rántí, nígbà tí ó bẹ̀rẹ̀ sí í yé mi, mo ti máa ń ṣàkíyèsí pé àwọn aláwọ̀ dúdú kì í ní ẹ̀tọ́ kankan, ṣùgbọ́n àwọn aláwọ̀ funfun ará Mauritania máa ń ní àǹfààní tí ó pọ̀.",
355,"Here, out of twenty ministers in the government, only a quarter are black and in the army, there is only one black person out of ten officers.","Níbí, nínú ogún àwọn adarí ipò ìjọba, ìdá mẹ́rin péré ni wọ́n jẹ́ aláwọ̀ dúdú. Nínú ẹgbẹ́ ológun, aláwọ̀ dúdú kan ṣoṣo ni ó máa ń wà láàárín ológun mẹ́wàá.",
356,"During an internship, if a white Mauritanian wouldn't perform well, they would still win over any other black person. And don't even dare protesting ...","Nígbà ìkọ́ṣẹ́, bí ọmọ Mauritania aláwọ̀ funfun kan kò bá ṣe dáadáa, wọn á ṣì borí aláwọ̀ dúdú mìíràn. A ò sì gbọdọ̀ fi ẹhónú hàn…",
357,He describes the methods of torture he and other soldiers experienced:,Ó ṣe àpèjúwe àwọn ìfìyàorójẹni tí òun pẹ̀lú àwọn ológun mìíràn rí:,
358,Translation Original Quote,Ìtúmọ̀ Ìtúnwí-ọ̀rọ̀ Ọlọ́rọ̀ gan-an,
359,"For example, they dug holes in the sand, buried us up to the neck, with the head fixed, our naked face turned toward the sun.","Fún àpẹẹrẹ, wọ́n gbẹ́ kòtò sínú iyẹ̀pẹ̀, wọ́n sì rì wá mọ́lẹ̀ dé ibi ọrùn, orí wa ò ṣe é yí, ojú wa sì wà ní ìhà oòrùn.",
360,"If we ever tried to close our eyes, the guards would throw sand. And then put the blindfolds back on.","Tí a bá sì gbìyànjú láti pa ojú dé, àwọn ẹ̀ṣọ́ á da iyẹ̀pẹ̀ sí wa. Wọ́n á sì wọ ìbòjú padà.",
361,"Maimouna Alpha Sy, general secretary of the Widow and Humanitarian Issues Association, was once married to Ba Baïdy Alassane, a former customs controller.","Maimouna Alpha Sy, akọ̀wé gbogboògbò fún Ẹgbẹ́ Ọ̀ràn Opó àti Aṣàánù ọmọ-ènìyàn, ti fi ìgbà kan rí jẹ́ aya Ba Baïdy Alassane, tí ó jẹ́ adarí àwọn ẹ̀ṣọ́ ibodè tẹ́lẹ̀.",
362,Alpha Sy says her late husband was among the victims killed in 1990.,Alpha Sy sọ pé ọkọ rẹ̀ tí ó ti di olóògbé wà lára àwọn tí wọ́n pa lọ́dún 1990.,
363,Translation Original Quote,Ìtúmọ̀ Ìtúnwí-ọ̀rọ̀ Ọlọ́rọ̀ gan-an,
364,"We spent three months and ten days looking for my husband, but in vain ...","Oṣù mẹ́ta àti ọjọ́ mẹ́wàá ni a fi wá ọkọ mi, ṣùgbọ́n pàbó ni ó já sí ...",
365,"Customs told us he died from a cardiac arrest, which is not true.","Àwọn ẹ̀ṣọ́-ibodè sọ fún wa pé àìsàn ọkàn ló pa á, tí èyí kò sì jẹ́ òtítọ́.",
366,"Witnesses were arrested, tied and tortured with him.","Wọ́n mú àwọn tó jẹ́rìí pẹ̀lú rẹ̀, wọ́n so wọ́n, wọ́n sì fi ìyà oró jẹ wọ́n pẹ̀lú rẹ̀.",
367,He was killed in front of them.,Ní iwájú wọn ni wọ́n ti pa á.,
368,‘Never again’,‘Kò tún gbọdọ̀ ṣẹlẹ̀ mọ́’,
369,"This year on November 28, Mauritanian immigrants protested in front of the Mauritanian embassy in Paris, France, against the state's disregard for this tragic episode.","Lọ́dún yìí ni ọjọ́ kejìdínlọ́gbọ̀n, àwọn ọmọ Mauritania tí wọ́n jẹ́ aṣíkiri fi ẹ̀hónú hàn níwájú Ẹ́mbásì Mauritania ní ìlú Paris, ní orílẹ̀-èdè France, lórí àìfiyèsí ìjọba nípa ìṣẹ̀lẹ̀ oró yìí.",
370,"Kardiata Malick Diallo, a deputy, gave a remarkable speech at the Mauritanian parliament to prevent people from forgetting, accusing the current prime minister of protecting the perpetrators, who still hold high offices in the state while victims rights’ have not been properly addressed:","Kardiata Malick Diallo, tí ó jẹ́ igbákejì, sọ ọrọ àròjinlẹ̀ ní ilé Ìgbìmọ̀ aṣòfin Mauritania láti máà jẹ́ kí àwọn ènìyàn gbàgbé, tí ó sì fi ẹ̀sùn kàn ààrẹ tí ó wà lórí oyè pé ó ń dáàbò bo àwọn oníṣẹ́-ibi náà, tí wọ́n ṣì ń dipò gíga mú nínú ìjọba nígbà tí wọn kò tí ì wá nǹkan ṣe sí ẹ̀tọ́ àwọn olùfarapa:",
371,Translation Original Quote,Ìtúmọ̀ Ìtúnwí-ọ̀rọ̀ Ọlọ́rọ̀ gan-an,
372,"Even if you are not directly responsible for the action that definitely stained every November 28, you still however were responsible for finding an adequate solution for the victims’ rights to the truth and justice ...","Bí ó tilẹ̀ jẹ́ pé ìwọ kọ́ ni o ṣe iṣẹ́-ibi tí ó kó àbààwọ́n ba gbogbo ọjọ́ 28 oṣù Belu jẹ́, ìwọ ni ó yẹ kí o wá ojútùú sí ẹ̀tọ́ àwọn olùfarapa sí òtítọ́ àti òdodo...",
373,"Great nations and great people never try to erase a dark episode out of their history but instead they show it to the world for everyone to remember and say ""NEVER AGAIN"".","Àwọn orílẹ̀-èdè olókìkí àti àwọn èèyàn ńlá kì í gbìyànjú láti pa ìṣẹ̀lẹ̀ aburú inú ìtàn-an wọn rẹ́, dípò èyí wọ́n máa ń fi han ayé kí gbogbo ènìyàn lè rántí kí wọ́n sì sọ pé ""KÒ TÚN GBỌDỌ̀ ṢẸLẸ̀ MỌ́ "".",
374,"Mister prime minister, your power has preferred policies of marginalization and exclusion.","Ọ̀gbẹ́ni ààrẹ, àkósoò rẹ ti ṣe àmúlò òfin ìyàsọ́tọ̀ àti ìyọkúrò ẹ̀yà.",
375,"As of October 2018, out of 24 ministerial functions, only five are occupied by black or mixed people, who represent up to 70 percent of society.","Ní oṣù Ọ̀wàrà ọdún 2018, nínú àwọn adarí ipò ìjọba 24, márùn-ún péré ni àwọn tí ó jẹ́ aláwọ̀ dúdú àti elẹ́yà-méjì, tí wọ́n ń ṣojú ìdá 70 àwọn mẹ̀kúnù.",
376,"The majority of the population are still under-represented among the elected representatives, members of the security forces, officials and local administrators.","Ọ̀pọ̀ àwọn mẹ̀kúnù ni wọ́n kò ní aṣojú láàárín àwọn aṣojú tí wọ́n dìbò yàn, láàárín àwọn ẹgbẹ́ àbò àti àwọn adarí ipò ìjọba ìbílẹ̀.",
377,"Mauritania is the last country in the world to officially abolish slavery in 1981 but it wasn't enforced until 2007 and an estimated 20 percent still live in some form of enslaved servitude, most of whom are black or mixed.","Mauritania ni orílẹ̀-èdè tí ó gbẹ́yìn láti pa òwò-ẹrú rẹ ní àgbáyé ní ọdún 1981, ṣùgbọ́n wọn kò fi ìdíi rẹ̀ múlẹ̀ títí di ọdún 2007, ìdá 20 àwọn ènìyàn ni wọ́n ṣì ń gbáyé ìṣẹrúsìn tí púpọ̀ nínú wọn sì jẹ́ aláwọ̀ dúdú tàbí elẹ́yà-méjì.",
378,"Because this historic racism persists in present-day Mauritania, justice for the survivors and their families remains out of reach.","Nítorí ìyàsọ́tọ̀ ẹ̀yà yìí ṣì ń ṣẹlẹ̀ ní orílẹ̀-èdè Mauritania, ìdájọ́ òdodo kò sí ní àrọ́wọ́tó fún àwọn ẹni orí-kó-yọ àti àwọn ìdílé wọn.",
379,100 days for Alaa: Family of Egyptian activist counts the days until his release from prison,100 ọjọ́ fún Alaa: Ẹbí ajàfúnẹ̀tọ́ ọmọ Íjípìtì ń ka ọjọ́ fún ìdásílẹ̀ẹ rẹ̀ nínú ẹ̀wọ̀n,
